Gene1	Gene2	Chromosome1	Chromosome2	Breakpoint1	Breakpoint2	FusionStrand1	FusionStrand2	GeneStrand1	GeneStrand2	type	site1	site2	transcript_id1	transcript_id2	reading_frame	5p_role	3p_role
PPID	FNIP2	4	4	158715562	158723692	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000512699	.	.	[]	[]
ZNF728	JAK3	19	19	23003028	17850806	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000594710	.	out-of-frame	[]	['Kinases', 'Cancer']
ZNF728	RPL18A	19	19	23003028	17850806	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000594710	.	out-of-frame	[]	[]
SUPT5H	DPP9	19	19	39468314	4735667	+	+	+	.	duplication	exon	intergenic	ENST00000599335	.	.	[]	[]
SUPT5H	MIR7-3HG	19	19	39468314	4735667	+	+	+	.	duplication	exon	intergenic	ENST00000599335	.	.	[]	[]
RNASE10	STON2	14	14	20506019	81278739	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000430083	ENST00000649389	in-frame	[]	[]
AL589693.1	SYNJ2	6	6	156042720	158097419	-	+	-	+	inversion	intron	3'UTR	.	ENST00000355585	.	[]	[]
AC015688.4	LGALS9DP	17	17	27640743	27749814	+	+	+	+	deletion/read-through	3'UTR	exon	ENST00000584605	ENST00000580112	.	[]	[]
AC134878.2	DCUN1D4	Y	4	11209686	49604284	-	-	-	.	translocation	intron	intergenic	ENST00000652671	.	.	[]	[]
STX10	CYP4F3	19	19	13144089	15631478	-	+	-	.	inversion	CDS	intergenic	ENST00000587230	.	.	[]	[]
STX10	CYP4F8	19	19	13144089	15631478	-	+	-	.	inversion	CDS	intergenic	ENST00000587230	.	.	[]	[]
RELB	BCL3	19	19	45003001	44745041	+	+	+	+	duplication	intron	intergenic	ENST00000221452	ENST00000403534	out-of-frame	[]	['Cancer']
PABPC4	TESMIN	1	11	39564471	68707415	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000372857	.	out-of-frame	[]	[]
PABPC4	GAL	1	11	39564471	68707415	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000372857	.	out-of-frame	[]	[]
NAA60	TPSB2	16	16	3476337	1232705	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000414063	.	out-of-frame	[]	[]
NAA60	TPSAB1	16	16	3476337	1232705	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000414063	.	out-of-frame	[]	[]
AC025283.2	TPSB2	16	16	3476337	1232705	+	-	+	.	inversion	3'UTR/splice-site	intergenic	ENST00000575785	.	stop-codon	[]	[]
AC025283.2	TPSAB1	16	16	3476337	1232705	+	-	+	.	inversion	3'UTR/splice-site	intergenic	ENST00000575785	.	stop-codon	[]	[]
ARNT2	AGBL1	15	15	80514405	86603546	+	+	+	+	deletion	CDS/splice-site	intron	ENST00000303329	.	out-of-frame	[]	[]
ANKRD11	AC022826.2	16	8	89418284	73738349	-	-	-	-	translocation	CDS/splice-site	3'UTR/splice-site	ENST00000301030	ENST00000358757	.	[]	[]
ANKRD11	AC022826.2	16	8	89418284	73739868	-	-	-	-	translocation	CDS/splice-site	CDS/splice-site	ENST00000301030	ENST00000358757	.	[]	[]
SLCO3A1	AC103982.1	15	15	91941576	88725834	+	+	+	.	duplication	exon/splice-site	intergenic	ENST00000556649	.	.	[]	[]
SLCO3A1	ISG20	15	15	91941576	88725834	+	+	+	.	duplication	exon/splice-site	intergenic	ENST00000556649	.	.	[]	[]
PIAS1	AC055874.1	15	15	68183667	33255789	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000249636	.	out-of-frame	[]	[]
PIAS1	TMCO5B	15	15	68183667	33255789	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000249636	.	out-of-frame	[]	[]
ARSB	C5orf67	5	5	78969006	56571880	-	-	-	-	deletion	CDS/splice-site	intron	ENST00000264914	.	out-of-frame	[]	[]
TSPO	AC069287.3	22	11	43159420	185902	+	+	+	+	translocation	CDS/splice-site	exon/splice-site	ENST00000337554	ENST00000527297	out-of-frame	[]	[]
NUCB1	CLEC4O	19	19	48919286	15848299	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000405315	.	out-of-frame	[]	[]
NUCB1	UCA1	19	19	48919286	15848299	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000405315	.	out-of-frame	[]	[]
IGF1R	AC091544.5	15	15	98708107	92613484	+	+	+	+	duplication	CDS/splice-site	intron	ENST00000650285	.	out-of-frame	['Kinases']	[]
PUM1	SH3D21	1	1	31059299	36319071	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000526215	ENST00000480549	in-frame	[]	[]
BID	E2F6P3	22	22	17774381	21282394	-	+	-	.	inversion	5'UTR/splice-site	intergenic	ENST00000614949	.	.	[]	[]
BID	POM121L8P	22	22	17774381	21282394	-	+	-	.	inversion	5'UTR/splice-site	intergenic	ENST00000614949	.	.	[]	[]
AL136985.3	MYSM1	1	1	58718748	58713056	+	+	+	.	duplication	exon/splice-site	intergenic	ENST00000636386	.	.	[]	[]
AC013489.1	AC020687.1	15	15	88511432	87281468	-	-	-	.	deletion	3'UTR/splice-site	intergenic	ENST00000649547	.	.	[]	[]
AC013489.1	AC078905.1	15	15	88511432	87281468	-	-	-	.	deletion	3'UTR/splice-site	intergenic	ENST00000649547	.	.	[]	[]
DET1	AC020687.1	15	15	88511432	87281468	-	-	-	.	deletion	3'UTR/splice-site	intergenic	ENST00000557842	.	.	[]	[]
DET1	AC078905.1	15	15	88511432	87281468	-	-	-	.	deletion	3'UTR/splice-site	intergenic	ENST00000557842	.	.	[]	[]
TMEM135	AC091198.1	11	18	87157406	33499468	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000305494	.	out-of-frame	[]	[]
TMEM135	CCDC178	11	18	87157406	33499468	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000305494	.	out-of-frame	[]	[]
FAM230C	CCDC91	13	12	18195411	28696925	+	+	+	.	translocation	exon/splice-site	intergenic	ENST00000623511	.	.	[]	[]
AGPAT3	HTN3	21	4	43904019	70043937	+	+	+	.	translocation	5'UTR/splice-site	intergenic	ENST00000291572	.	.	[]	[]
RELB	AC243964.2	19	19	45003001	44745041	+	+	+	.	duplication	intron	intergenic	ENST00000221452	.	out-of-frame	[]	[]
AC013489.1	AGBL1	15	15	88459616	86585554	-	+	-	+	inversion	3'UTR	intron	ENST00000649547	.	.	[]	[]
MRPL46	AGBL1	15	15	88459616	86585554	-	+	-	+	inversion	CDS	intron	ENST00000312475	.	out-of-frame	[]	[]
ABHD2	ZNF710	15	15	89187537	89957554	+	+	+	.	deletion	intron	intergenic	.	.	.	[]	[]
ABHD2	AC027176.3	15	15	89187537	89957554	+	+	+	.	deletion	intron	intergenic	.	.	.	[]	[]
PHC2	AC067805.1	1	15	33430181	88913609	-	-	-	.	translocation	intron	intergenic	.	.	.	[]	[]
PHC2	MFGE8	1	15	33430181	88913609	-	-	-	.	translocation	intron	intergenic	.	.	.	[]	[]
RB1CC1	AP003119.1	8	11	52713968	76727719	-	+	-	.	translocation	intron	intergenic	ENST00000025008	.	.	[]	[]
RB1CC1	GUCY2EP	8	11	52713968	76727719	-	+	-	.	translocation	intron	intergenic	ENST00000025008	.	.	[]	[]
USP7	CCDC15-DT	16	11	8963207	124943400	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000344836	.	out-of-frame	[]	[]
USP7	HEPACAM	16	11	8963207	124943400	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000344836	.	out-of-frame	[]	[]
ZFAND3	AL365503.1	6	6	37820016	67394948	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000287218	.	out-of-frame	[]	[]
ZFAND3	AL591004.1	6	6	37820016	67394948	+	-	+	.	inversion	CDS/splice-site	intergenic	ENST00000287218	.	out-of-frame	[]	[]
DUXAP9	KANK1	14	9	19062466	676890	+	+	+	+	translocation	exon/splice-site	5'UTR/splice-site	ENST00000547220	ENST00000382303	.	[]	[]
DUXAP9	KANK1	14	9	19093006	593609	+	+	+	+	translocation	exon/splice-site	intron	ENST00000644980	.	.	[]	[]
TYRP1	LARP4	9	12	12557351	50477514	+	+	+	+	translocation	intergenic	3'UTR	.	ENST00000293618	.	[]	[]
RERGL	ARHGDIB	12	12	17867854	14961596	-	-	-	-	deletion	intergenic	5'UTR	.	ENST00000228945	.	[]	[]
ISG20	SLCO3A1	15	15	88746544	91899221	+	+	+	+	deletion	intergenic	intron	.	.	.	[]	[]
SMCR2	PEMT	17	17	17626112	17577027	-	-	-	-	deletion/read-through	intergenic	CDS/splice-site	.	ENST00000255389	.	[]	[]
RERGL	SHF	12	15	18041379	45178306	-	-	-	-	translocation	intergenic	CDS/splice-site	.	ENST00000290894	.	[]	[]
EIF3E	ABRA	8	8	108214607	106953166	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000677409	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
EIF3E	AP003789.1	8	8	108214607	106953166	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000677409	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
PTOV1	TRPM4	19	19	49851499	49236587	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000391842	.	out-of-frame	[]	[]
PTOV1	SLC6A21P	19	19	49851499	49236587	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000391842	.	out-of-frame	[]	[]
FZD4	PSMC1P12	11	1	86954801	118628456	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000531380	.	out-of-frame	[]	[]
FZD4	AL139148.1	11	1	86954801	118628456	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000531380	.	out-of-frame	[]	[]
IQCA1	NKX1-1	2	4	236441040	1488691	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000309507	.	out-of-frame	[]	[]
IQCA1	AC147067.2	2	4	236441040	1488691	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000309507	.	out-of-frame	[]	[]
LRIG1	HSPB1P2	3	X	66500190	49234667	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000273261	.	out-of-frame	[]	[]
PLA2G6	MCM5	22	22	38145438	35442348	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000660610	.	out-of-frame	[]	[]
PRRG4	EHF	11	11	32840239	34590230	+	+	+	.	deletion	CDS/splice-site	intergenic	ENST00000257836	.	out-of-frame	[]	['Cancer']
PRRG4	LINC02707	11	11	32840239	34590230	+	+	+	.	deletion	CDS/splice-site	intergenic	ENST00000257836	.	out-of-frame	[]	[]
PTOV1	SUMO1P4	19	19	49851499	49269403	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000391842	.	out-of-frame	[]	[]
PTOV1	SLC6A21P	19	19	49851499	49269403	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000391842	.	out-of-frame	[]	[]
AL050309.1	KLF8	X	X	56107614	56250231	+	+	+	+	deletion/read-through	intron	CDS/splice-site	.	ENST00000468660	.	[]	[]
ZNF195	PIP5K1P2	11	7	3370975	159235914	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000528796	.	out-of-frame	[]	[]
DOCK9	FARP1	13	13	99086223	98067046	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000652315	.	out-of-frame	[]	[]
DOCK9	IPO5	13	13	99086223	98067046	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000652315	.	out-of-frame	[]	[]
PPARA	LINC00899	22	22	46151970	46035579	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000415785	.	.	[]	[]
PPARA	BX537318.1	22	22	46151970	46035579	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000415785	.	.	[]	[]
NPHS1	AC008507.4	19	19	35844319	30049795	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000378910	.	out-of-frame	[]	[]
NPHS1	AC008507.1	19	19	35844319	30049795	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000378910	.	out-of-frame	[]	[]
PLA2G6	AL022334.1	22	22	38145438	35442348	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000660610	.	out-of-frame	[]	[]
LRIG1	CCDC22	3	X	66500190	49234667	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000273261	.	out-of-frame	[]	[]
CTSLP8	TENT5B	9	1	87844906	27064115	+	-	+	.	translocation	exon	intergenic	ENST00000413075	.	.	[]	[]
CKAP2L	WASH2P	2	2	112757018	113587468	-	-	-	.	duplication	CDS	intergenic	ENST00000302450	.	out-of-frame	[]	[]
CKAP2L	AL078621.2	2	2	112757018	113587468	-	-	-	.	duplication	CDS	intergenic	ENST00000302450	.	out-of-frame	[]	[]
ZNF823	ALG12	19	22	11738817	49908105	-	-	-	-	translocation	CDS/splice-site	intron	ENST00000341191	ENST00000330817	out-of-frame	[]	[]
CTSLP8	SLC9A1	9	1	87844906	27064115	+	-	+	.	translocation	exon	intergenic	ENST00000413075	.	.	[]	[]
AC092296.2	FNBP4	19	11	36311795	47715591	+	-	+	.	translocation	exon	intergenic	ENST00000586340	.	.	[]	[]
AC092296.2	AGBL2	19	11	36311795	47715591	+	-	+	.	translocation	exon	intergenic	ENST00000586340	.	.	[]	[]
ZC3H11B	AL356364.1	1	1	219611465	219555477	-	-	-	.	deletion/read-through	CDS	intergenic	ENST00000651890	.	out-of-frame	[]	[]
ZC3H11B	LYPLAL1-AS1	1	1	219611465	219555477	-	-	-	.	deletion/read-through	CDS	intergenic	ENST00000651890	.	out-of-frame	[]	[]
LINC01674	POTED	21	21	13565781	13615123	+	+	+	+	deletion/read-through	exon/splice-site	CDS/splice-site	ENST00000660298	ENST00000299443	.	[]	[]
LINC01674	POTED	21	21	13565781	13630941	+	+	+	+	deletion/read-through	exon/splice-site	CDS/splice-site	ENST00000660298	ENST00000299443	.	[]	[]
NRSN1	HNRNPA1P58	6	6	24134509	24078397	+	+	+	.	duplication	CDS	intergenic	ENST00000378475	.	out-of-frame	[]	[]
ESR1	LINC00578	6	3	151880771	177385687	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000440973	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
SLC9A3	AC021087.5	5	5	472646	246830	-	+	-	+	inversion	3'UTR	intron	ENST00000264938	.	.	[]	[]
SLC9A3	SDHA	5	5	472646	246830	-	+	-	+	inversion	3'UTR	intron	ENST00000264938	.	.	[]	['Cancer', 'Tumour Suppressor']
ESR1	AC117465.1	6	3	151880771	177385687	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000440973	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
TMEM30A	FO393414.3	6	6	75258780	72606991	-	+	-	.	inversion	CDS/splice-site	intergenic	ENST00000230461	.	out-of-frame	[]	[]
PPARA	LINC00899	22	22	46151970	46035579	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000262735	.	.	[]	[]
PPARA	BX537318.1	22	22	46151970	46035579	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000262735	.	.	[]	[]
PP7080	AC021087.5	5	5	472679	250992	-	+	-	+	inversion	exon/splice-site	3'UTR/splice-site	ENST00000510714	ENST00000651543	.	[]	[]
TMEM30A	FO393414.1	6	6	75258780	72606991	-	+	-	.	inversion	CDS/splice-site	intergenic	ENST00000230461	.	out-of-frame	[]	[]
ERBB4	AC012491.1	2	2	211561903	211017213	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000436443	.	out-of-frame	['Kinases', 'Cancer', 'Tumour Suppressor']	[]
ERBB4	CPS1	2	2	211561903	211017213	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000436443	.	out-of-frame	['Kinases', 'Cancer', 'Tumour Suppressor']	[]
KANSL1	AC136489.1	17	X	46170855	45226129	-	+	-	+	translocation	CDS/splice-site	intron	ENST00000574590	.	out-of-frame	[]	[]
EXOC3	SLC9A3	5	5	465033	472170	+	-	+	-	inversion	3'UTR	3'UTR	ENST00000515601	ENST00000264938	.	[]	[]
AL137782.1	UCHL3	13	13	75569507	75560753	+	+	+	+	duplication	exon/splice-site	CDS/splice-site	ENST00000563635	ENST00000377595	.	[]	[]
AL137782.1	UCHL3	13	13	75638531	75560753	+	+	+	+	duplication	intron	CDS/splice-site	.	ENST00000377595	.	[]	[]
AL137782.1	UCHL3	13	13	75594990	75560753	+	+	+	+	duplication	exon/splice-site	CDS/splice-site	ENST00000563635	ENST00000377595	.	[]	[]
AL137782.1	UCHL3	13	13	75621868	75560753	+	+	+	+	duplication	exon/splice-site	CDS/splice-site	ENST00000563635	ENST00000377595	.	[]	[]
LETM1	NSD2	4	4	1828096	1869504	-	-	-	.	duplication	intron	intergenic	.	.	.	[]	['Cancer']
HHAT	AL035414.1	1	1	210387581	210321630	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000541565	.	out-of-frame	[]	[]
APOBEC3F	MAMDC2-AS1	22	9	39045220	69913146	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000308521	.	out-of-frame	[]	[]
MBD5	EPC2	2	2	148178793	148616119	+	+	+	.	deletion	5'UTR/splice-site	intergenic	ENST00000473478	.	.	[]	[]
MBD5	RPS29P8	2	2	148178793	148616119	+	+	+	.	deletion	5'UTR/splice-site	intergenic	ENST00000473478	.	.	[]	[]
MEIS1	U6	2	22	66464220	12630756	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000272369	.	out-of-frame	[]	[]
PBX1	ZNF362	1	1	164601636	33305725	+	-	+	.	inversion	intron	intergenic	.	.	.	['Cancer']	[]
PBX1	A3GALT2	1	1	164601636	33305725	+	-	+	.	inversion	intron	intergenic	.	.	.	['Cancer']	[]
ADIPOR1	TIAM1	1	21	202947408	31430091	-	-	-	-	translocation	intron	intron	ENST00000340990	.	out-of-frame	[]	[]
ERBB4	LINC01953	2	2	212538449	213214640	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000436443	.	out-of-frame	['Kinases', 'Cancer', 'Tumour Suppressor']	[]
ERBB4	AC079610.2	2	2	212538449	213214640	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000436443	.	out-of-frame	['Kinases', 'Cancer', 'Tumour Suppressor']	[]
MEIS1	FRG1GP	2	22	66464220	12630756	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000272369	.	out-of-frame	[]	[]
APOBEC3F	C9orf135	22	9	39045220	69913146	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000308521	.	out-of-frame	[]	[]
ALKBH5	LINC02564	17	18	18185013	15617	+	+	+	+	translocation	CDS/splice-site	exon/splice-site	ENST00000399138	ENST00000572573	out-of-frame	[]	[]
MEIS1	FRG1EP	2	20	66464220	29476026	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000272369	.	out-of-frame	[]	[]
MEIS1	DUX4L35	2	20	66464220	29476026	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000272369	.	out-of-frame	[]	[]
ZMYND8	LINC01754	20	20	47347856	47371898	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000355972	.	out-of-frame	[]	[]
MBD5	RPS29P8	2	2	148178793	148592026	+	+	+	.	deletion	5'UTR/splice-site	intergenic	ENST00000407073	.	.	[]	[]
PDIA5	NEK11	3	3	123209399	131349557	+	+	+	+	deletion	3'UTR/splice-site	CDS/splice-site	ENST00000469649	ENST00000383366	.	[]	['Kinases']
SUPV3L1	HKDC1	10	10	69203043	69220331	+	+	+	+	deletion/read-through	CDS/splice-site	intergenic	ENST00000359655	ENST00000354624	out-of-frame	[]	[]
SIX4	SIX1	14	14	60722955	60693441	-	-	-	.	deletion/read-through	intron	intergenic	ENST00000554079	.	.	[]	['Cancer']
TUBB	HCG20	6	6	30723028	30788691	+	+	+	+	deletion/read-through	CDS/splice-site	exon/splice-site	ENST00000327892	ENST00000656751	out-of-frame	[]	[]
ESS2	GSC2	22	22	19142538	19151391	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000252137	.	out-of-frame	[]	[]
CDHR2	DNALI1	5	1	176548452	37566655	+	+	+	+	translocation	intron	3'UTR	.	ENST00000296218	.	[]	[]
AP002990.1	AHNAK	11	11	62589031	62491831	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000496634	ENST00000257247	in-frame	[]	[]
TUT1	AHNAK	11	11	62589031	62491831	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000308436	ENST00000257247	in-frame	[]	[]
ESS2	LINC01311	22	22	19142538	19151391	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000252137	.	out-of-frame	[]	[]
UBP1	COX11P1	3	6	33400962	28449306	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000447368	.	out-of-frame	[]	[]
UBP1	OR2E1P	3	6	33400962	28449306	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000447368	.	out-of-frame	[]	[]
RAB28	LINC00687	4	20	13460699	11810439	-	-	-	-	translocation	CDS/splice-site	exon/splice-site	ENST00000338176	ENST00000666572	out-of-frame	[]	[]
FMNL2	UBQLN4P2	2	2	152335720	153078340	+	+	+	.	deletion	CDS/splice-site	intergenic	ENST00000288670	.	out-of-frame	[]	[]
FMNL2	ATP5PBP4	2	2	152335720	153078340	+	+	+	.	deletion	CDS/splice-site	intergenic	ENST00000288670	.	out-of-frame	[]	[]
PATL1	RNA5SP472	11	19	59642880	32304860	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000531919	.	.	[]	[]
PATL1	ZNF507	11	19	59642880	32304860	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000531919	.	.	[]	[]
RAD52	AC073648.1	12	4	925450	8928535	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000430095	.	out-of-frame	[]	[]
ERC1	PPP1R1AP2	12	16	1290012	46386024	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000543086	.	out-of-frame	['Cancer']	[]
ERC1	ANKRD26P1	12	16	1290012	46386024	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000543086	.	out-of-frame	['Cancer']	[]
RAB28	LINC02761	4	11	13406727	76235620	-	+	-	.	translocation	intron	intergenic	.	.	.	[]	[]
RAB28	THAP12	4	11	13406727	76235620	-	+	-	.	translocation	intron	intergenic	.	.	.	[]	[]
RAD52	HMX1	12	4	925450	8928535	-	-	-	.	translocation	CDS/splice-site	intergenic	ENST00000430095	.	out-of-frame	[]	[]
ERC1	AC135776.4	12	16	1290012	34573771	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000543086	.	out-of-frame	['Cancer']	[]
ERC1	FP325313.2	12	16	1290012	34573771	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000543086	.	out-of-frame	['Cancer']	[]
RAB28	THAP12	4	11	13460699	76236652	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000338176	.	out-of-frame	[]	[]
RAB28	LINC02761	4	11	13460699	76236652	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000338176	.	out-of-frame	[]	[]
ARGLU1	EFNB2	13	13	106559432	106512812	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000400198	ENST00000646441	out-of-frame	[]	[]
ANK3	LINC01553	10	10	60042672	59959968	-	-	-	-	deletion/read-through	3'UTR/splice-site	exon/splice-site	ENST00000373827	ENST00000521074	stop-codon	[]	[]
AC015688.4	LGALS9DP	17	17	27640758	27748311	+	+	+	+	deletion/read-through	3'UTR	exon	ENST00000584605	ENST00000580112	.	[]	[]
CHMP4B	LINC02500	20	4	33852203	181447613	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000217402	.	out-of-frame	[]	[]
CHMP4B	AC093840.1	20	4	33852203	181447613	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000217402	.	out-of-frame	[]	[]
ACTN4	LGALS7B	19	19	38647907	38790689	+	+	+	+	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000252699	ENST00000314980	out-of-frame	['Cancer']	[]
CACNB1	GRM2	17	3	39183713	51773540	-	+	-	.	translocation	CDS/splice-site	intergenic	ENST00000394303	.	out-of-frame	[]	[]
